scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
all,30,36,SVM,0.6971428571428572,0.6703296703296703,0.6834733893557423,122,53,60,879
caffe,1,7,NB,0.0,0.0,0.0,0,0,10,76
caffe,1,7,LR,0.2,0.1,0.13333333333333333,1,4,9,72
caffe,1,7,SVM,0.0,0.0,0.0,0,1,10,75
caffe,2,8,NB,0.0,0.0,0.0,0,0,10,76
caffe,2,8,LR,0.5,0.4,0.4444444444444444,4,4,6,72
caffe,2,8,SVM,0.75,0.3,0.42857142857142855,3,1,7,75
caffe,3,9,NB,0.0,0.0,0.0,0,0,10,76
caffe,3,9,LR,0.75,0.6,0.6666666666666666,6,2,4,74
caffe,3,9,SVM,0.6666666666666666,0.4,0.5,4,2,6,74
caffe,4,10,NB,0.0,0.0,0.0,0,0,10,76
caffe,4,10,LR,0.2,0.2,0.2,2,8,8,68
caffe,4,10,SVM,0.5,0.2,0.2857142857142857,2,2,8,74
caffe,5,11,NB,0.0,0.0,0.0,0,0,10,76
caffe,5,11,LR,0.6666666666666666,0.2,0.3076923076923077,2,1,8,75
caffe,5,11,SVM,0.5,0.1,0.16666666666666666,1,1,9,75
caffe,6,12,NB,0.0,0.0,0.0,0,0,10,76
caffe,6,12,LR,0.6666666666666666,0.4,0.5,4,2,6,74
caffe,6,12,SVM,0.8,0.4,0.5333333333333333,4,1,6,75
caffe,7,13,NB,0.0,0.0,0.0,0,0,10,76
caffe,7,13,LR,0.75,0.3,0.42857142857142855,3,1,7,75
caffe,7,13,SVM,1.0,0.3,0.46153846153846156,3,0,7,76
caffe,8,14,NB,0.0,0.0,0.0,0,0,10,76
caffe,8,14,LR,0.3333333333333333,0.2,0.25,2,4,8,72
caffe,8,14,SVM,0.6666666666666666,0.2,0.3076923076923077,2,1,8,75
caffe,9,15,NB,0.0,0.0,0.0,0,0,10,76
caffe,9,15,LR,0.5,0.3,0.375,3,3,7,73
caffe,9,15,SVM,0.5,0.2,0.2857142857142857,2,2,8,74
caffe,10,16,NB,0.0,0.0,0.0,0,0,10,76
caffe,10,16,LR,0.42857142857142855,0.3,0.35294117647058826,3,4,7,72
caffe,10,16,SVM,0.6666666666666666,0.2,0.3076923076923077,2,1,8,75
caffe,11,17,NB,0.0,0.0,0.0,0,0,10,76
caffe,11,17,LR,0.3333333333333333,0.2,0.25,2,4,8,72
caffe,11,17,SVM,0.5,0.2,0.2857142857142857,2,2,8,74
caffe,12,18,NB,0.0,0.0,0.0,0,0,10,76
